Rank,Word,PoS,Collins,knowTag,,Definition,Tag,3151
1,the,a,5,2,,art. 这；那；adv. 更加（用于比较级，最高级前）,zk gk,1856
2,be,v,5,2,,prep. 在，存在；是,zk gk,1295
3,and,c,5,2,,conj. 和，与；而且；然后；就；但是,zk gk,
4,of,i,5,2,,prep. 属于；关于；…的；由…组成的,zk gk,4930
5,a,a,5,2,,art. 一；任一；每一,zk gk,
6,in,i,2,2,重复,prep. 在…之内；从事于；按照（表示方式）,ielts zk gk,
7,to,t,5,2,重复,adv. 向前；（门等）关上,zk gk,
8,have,v,5,2,重复,vt. 有；让；从事；允许；拿,zk gk,
9,to,i,5,2,重复,adv. 向前；（门等）关上,zk gk,
10,it,p,5,2,,pron. 它,zk gk,
11,I,p,5,2,,pron. 我,zk gk,
12,that,c,5,2,重复,pron. 那；那个,zk gk,
13,for,i,5,2,重复,prep. 为，为了；给；因为；对于；适合于；至于,zk gk,
14,you,p,5,2,,pron. 你；你们,zk gk,
15,he,p,5,2,,n. 它（雄性动物）；男孩，男人,zk gk,
16,with,i,5,2,,prep. 用；支持；随着；和…在一起,zk gk,
17,on,i,5,2,重复,adv. 向前地；继续着；作用中，行动中,ielts zk gk,
18,do,v,5,2,,n. 要求；规定；C大调音阶中的第一音,zk gk,
19,say,v,5,2,重复,vt. 讲；说明；指明；假设；例如；声称,ielts zk gk,
20,this,d,5,2,重复,pron. 这；这个；这里,zk gk,
21,they,p,5,2,,pron. 他们；她们；它们,zk gk,
22,at,i,5,2,,prep. 在（表示存在或出现的地点、场所、位置、空间）；向；朝；因为；忙于；以（某种价格、速度等）,zk gk,
23,but,c,5,2,重复,conj. 但是；然而；而是,zk gk,
24,we,p,5,2,,pron. 我们（主格）；[古]朕，寡人；笔者，本人（作者或演讲人使用）,zk gk,
25,his,a,5,2,重复,pron. 他的,zk gk,
26,from,i,5,2,,prep. 来自，从；今后；由于,zk gk,
27,that,d,5,2,重复,pron. 那；那个,zk gk,
28,not,x,5,2,重复,adv. 不（用于否定句）,zk gk,
30,by,i,5,2,重复,prep. 被；经由；在……之前；在附近；依据；通过,zk gk,
31,she,p,5,2,,pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等）,zk gk,
32,or,c,5,2,,conj. 或，或者；还是,zk gk,
33,as,c,5,2,重复,conj. 因为；依照；当…时；随着；虽然,ielts zk gk,
34,what,d,5,2,,pron. 什么；多么；多少,zk gk,
35,go,v,5,2,,vi. 走；趋于；达到；运转,ielts zk gk,
36,their,a,5,2,,pron. 他们的，她们的；它们的,zk gk,
37,can,v,2,2,重复,n. 罐头，一罐；金属容器,toefl zk gk,
38,who,p,5,2,,pron. 谁,zk gk,
39,get,v,5,2,,vt. 获得；变成；使得；受到,ielts zk gk,
40,if,c,5,2,,conj. （表条件）如果；（表假设）假如；是否；即使,zk gk,
41,would,v,5,2,,aux. 将，将要；愿意,zk gk,
42,her,a,5,2,重复,pron. 她的；她,zk gk,
43,all,d,5,2,重复,adj. 全部的,ielts zk gk,
44,my,a,5,2,,pron. 我的,zk gk,
45,make,v,3,2,重复,vt. 制造；构成；使得；获得；引起；进行；布置，准备，整理；认为；安排；形成,ielts zk gk,
46,about,i,5,2,重复,prep. 关于；大约,zk gk,
47,know,v,3,2,,vt. 知道；认识；懂得,zk gk,
48,will,v,4,2,重复,n. 意志；意图；心愿；情感；遗嘱,zk gk,
49,as,i,5,2,重复,conj. 因为；依照；当…时；随着；虽然,ielts zk gk,
50,up,r,2,2,重复,adv. 向上；上涨；起来,zk gk,
51,one,m,5,2,重复,pron. 任何人；一个人,ielts zk gk,
52,time,n,5,2,重复,n. 时间；次数；时代；节拍；倍数,ielts zk gk,
53,there,e,5,2,重复,adv. 在那里；在那点上；在那边,zk gk,
54,year,n,5,2,,n. 年；历年；年度,zk gk,
55,so,r,3,2,重复,adv. 如此，这么；确是如此,zk gk,
56,think,v,5,2,重复,vt. 想；认为；想像；想起；打算,zk gk,
57,when,c,5,2,重复,conj. 既然；当…时；考虑到,zk gk,
58,which,d,5,2,,pron. 哪/那一个；哪/那一些,zk gk,
59,them,p,5,2,,pron. 他们；她们；它们,zk gk,
60,some,d,5,2,,adj. 一些；大约；某一,zk gk,
61,me,p,5,2,,pron. 我（宾格）,zk gk,
62,people,n,5,2,,n. 人；人类；民族；公民,zk gk,
63,take,v,1,2,重复,vt. 拿，取；接受；采取；吃,ielts zk gk,
64,out,r,5,2,重复,adv. 在外；出现；出声地；不流行地；出局,zk gk,
65,into,i,5,2,,prep. 到…里；深入…之中；成为…状况；进入到…之内,zk gk,
66,just,r,1,2,重复,adv. 正好，恰好；只是，仅仅；刚才，刚刚；实在；刚要,zk gk,
67,see,v,5,2,,vt. 看见；领会；理解,zk gk,
68,him,p,5,2,,pron. 他（宾格）,zk gk,
69,your,a,5,2,,pron. 你的，你们的,zk gk,
70,come,v,5,2,,vi. 来；出现；到达；变成；开始；发生,ielts zk gk,
71,could,v,5,2,,aux. 能够,zk,
72,now,r,5,2,重复,adv. 现在；立刻；如今,zk gk,
73,than,c,5,2,重复,conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后）,zk gk,
74,like,i,5,2,重复,vt. 喜欢；愿意；想,zk gk,
75,other,j,5,2,重复,adj. 其他的，另外的,zk gk,
76,how,r,5,2,,adv. 多么；多少；如何,zk gk,
77,then,r,5,2,重复,adv. 当时；然后；那么；于是；此外,zk gk,
78,its,a,5,2,,pron. 它的,zk gk,
79,our,a,5,2,,pron. 我们的,zk gk,
80,two,m,5,2,,n. 两个,zk gk,
81,more,r,5,2,重复,adv. 更多；更大程度地；此外,zk,
82,these,d,5,2,,pron. 这些,zk gk,
83,want,v,5,2,重复,vt. 需要；缺少；应该；希望,zk gk,
84,way,n,5,2,重复,n. 道路；方法；方向；习惯；行业,toefl zk gk,
85,look,v,5,2,重复,vt. 看；期待；注意；面向；看上去像,zk gk,
86,first,m,5,2,重复,adv. 第一；首先；优先；宁愿,zk gk,
87,also,r,5,2,,adv. 也；同样；而且,zk gk,
88,new,j,5,2,,adj. 新的，新鲜的；更新的；初见的,zk gk,
89,because,c,5,1,重复,conj. 因为,zk gk,
90,day,n,5,2,,n. 一天；白昼；时期,ielts zk gk,
91,more,d,5,2,重复,adv. 更多；更大程度地；此外,zk,
92,use,v,4,2,重复,n. 使用；用途；发挥,zk gk,
93,no,a,5,2,重复,adv. 不,zk gk,
94,man,n,5,2,重复,n. 雇工；男人；人；人类；丈夫,zk gk,
95,find,v,5,2,重复,vt. 发现；认为；感到；获得,zk gk,
96,here,r,5,2,,adv. 在这里；此时,zk gk,
97,thing,n,5,2,,n. 东西；事物；事情；情况,zk gk,
98,give,v,5,2,,vt. 给；授予；让步；产生；举办,ielts zk gk,
99,many,d,5,2,,pron. 许多；许多人,zk gk,
100,well,r,2,2,重复,adv. 满意地；适当地；很好地；充分地,toefl zk gk,
101,only,r,5,2,重复,adv. 只，仅仅；不料,zk gk,
102,those,d,5,2,,adj. 那些的,zk gk,
103,tell,v,5,2,,vt. 告诉，说；吩咐；辨别；断定,zk gk,
104,one,p,5,2,重复,pron. 任何人；一个人,ielts zk gk,
105,very,r,5,2,重复,adj. 十足的；恰好是，正是；甚至；特有的,zk gk,
106,her,p,5,2,重复,pron. 她的；她,zk gk,
107,even,r,1,2,重复,adj. 偶数的；相等的；平坦的,toefl ielts zk gk,
108,back,r,5,2,重复,n. 背部；后面；靠背；足球等的后卫；书报等的末尾,ielts zk gk,
109,any,d,5,2,重复,adj. 任何的；所有的；丝毫,zk gk,
110,good,j,5,2,重复,adj. 愉快的；好的；虔诚的；优良的,ielts zk gk,
111,woman,n,5,2,,n. 女性；妇女；成年女子,zk gk,
112,through,i,5,1,重复,prep. 穿过；通过；凭借,zk gk,
113,us,p,5,2,,pron. 我们,zk,
114,life,n,5,2,,n. 寿命；生活，生存,zk gk,
115,child,n,5,2,,n. 儿童，孩子；子孙；产物,ielts zk gk,
116,there,r,5,2,重复,adv. 在那里；在那点上；在那边,zk gk,
117,work,v,5,2,重复,n. 工作；职业；产品；行为；文学、音乐或艺术作品；工厂；操作；[物]功,zk gk,
118,down,r,2,2,重复,adv. 向下，下去；在下面,toefl zk gk,
119,may,v,4,2,,aux. 可能，可以；愿意,ielts zk gk,
120,after,i,5,2,重复,adv. 后来，以后,zk gk,
121,should,v,5,2,,aux. 应该；将要；可能；就,zk gk,
122,call,v,5,2,重复,vi. 呼叫；拜访；叫牌,ielts zk gk,
123,world,n,5,2,,n. 世界；全人类；世俗；领域；宇宙；物质生活,ielts zk gk,
124,over,i,5,2,重复,adv. 结束；越过；从头到尾,zk gk,
125,school,n,5,1,重复,n. 学校；学派；学院；鱼群,ielts zk gk,
126,still,r,5,2,重复,adv. 更；仍然；静止地,toefl zk gk,
127,try,v,5,2,重复,vt. 试验；审判；考验；试图，努力,zk gk,
128,in,r,2,2,重复,prep. 在…之内；从事于；按照（表示方式）,ielts zk gk,
129,as,r,5,2,重复,conj. 因为；依照；当…时；随着；虽然,ielts zk gk,
130,last,m,2,2,重复,n. 末尾，最后；上个；鞋楦（做鞋的模型）,gk,
131,ask,v,5,2,,vt. 问，询问；邀请；要求；需要；讨价,zk gk,
132,need,v,5,2,重复,n. 需要，要求；必要之物；缺乏,zk gk,
133,too,r,5,2,,adv. 也；太；非常；还；过度；很,zk gk,
134,feel,v,5,2,重复,vt. 感觉；试探；触摸；认为,ielts zk gk,
135,three,m,5,2,,n. 三，三个,zk gk,
136,when,r,5,2,重复,conj. 既然；当…时；考虑到,zk gk,
137,state,n,5,1,重复,n. 情形；国家；州,cet4 cet6 ky zk gk,
138,never,r,5,2,,adv. 决不；从未,zk gk,
139,become,v,5,2,,vi. 变成；变得；成为,ielts zk gk,
140,between,i,5,1,重复,prep. 在…之间,zk gk,
141,high,j,5,2,重复,adj. 高的；高级的；高音调的；崇高的,zk gk,
142,really,r,5,2,,adv. 实际上，事实上；真正地，真实地；真的吗？（表语气）,zk,
143,something,p,5,2,,pron. 某事；某物,zk gk,
144,most,r,5,2,重复,adv. 最；最多；非常，极其；几乎,ielts zk gk,
145,another,d,5,2,重复,adj. 另外的；不同的；又一，另一,zk gk,
146,much,d,5,2,重复,adv. 非常，很,zk gk,
147,family,n,5,1,,n. 家庭；家族；家属；亲属；子女；僚属,ielts zk gk,
148,own,d,5,2,重复,vt. 拥有；承认,zk gk,
149,out,i,5,2,重复,adv. 在外；出现；出声地；不流行地；出局,zk gk,
150,leave,v,5,1,重复,vt. 离开；留下；委托；遗忘,ielts zk gk,
151,put,v,5,2,,vt. 放；表达；移动；安置；赋予,ielts zk gk,
152,old,j,5,2,重复,adj. 年老的；陈旧的，古老的,zk gk,
153,while,c,4,2,重复,conj. 当……的时候；虽然；然而,zk gk,
154,mean,v,2,2,重复,adj. 低劣的；平均的；卑鄙的,toefl ielts zk gk,
155,on,r,5,2,重复,adv. 向前地；继续着；作用中，行动中,ielts zk gk,
156,keep,v,5,2,重复,vt. 保持；遵守；经营；饲养,ielts zk gk,
157,student,n,5,1,,n. 学生；学者,ielts zk gk,
158,why,r,5,2,,int. 哎呀！什么？,zk gk,
159,let,v,5,2,,vt. 允许，让；出租；假设；妨碍,ielts zk gk,
160,great,j,5,1,重复,adj. 伟大的，重大的；极好的，好的；主要的,zk gk,
161,same,d,5,2,重复,adj. 相同的；同一的；无变化的；上述的（通常与the连用）,zk gk,
162,big,j,5,2,,adj. 大的；重要的；量大的,zk gk,
163,group,n,5,2,重复,n. 组；团体,ielts zk gk,
164,begin,v,5,1,,vt. 开始,zk gk,
165,seem,v,5,2,,vi. 似乎；像是；装作,zk gk,
166,country,n,5,1,,n. 国家；故乡,ielts zk gk,
167,help,v,5,2,重复,vt. 帮助；治疗；促进；补救,zk gk,
168,talk,v,5,2,重复,vt. 说；谈话；讨论,zk gk,
169,where,c,5,2,重复,adv. 在哪里,zk gk,
170,turn,v,5,2,重复,vt. 转动，使旋转；转弯；兑换；翻过来,zk gk,
171,problem,n,5,1,,n. 难题；引起麻烦的人,zk gk,
172,every,a,5,2,重复,adj. 每一的，每个的；每隔…的,zk gk,
173,start,v,5,2,重复,vt. 开始；启动,zk gk,
174,hand,n,4,2,重复,n. 手，手艺；指针；插手；帮助,ielts zk gk,
175,might,v,1,1,重复,n. 力量；势力；威力,cet4 ky ielts zk gk,
176,American,j,,1,重复,n. 美国人,ielts zk gk,
177,show,v,5,2,重复,vt. 显示；演出；展出；说明,zk gk,
178,part,n,3,2,重复,n. 部分；角色；零件,cet4 ky ielts zk gk,
179,about,r,5,2,重复,prep. 关于；大约,zk gk,
180,against,i,5,1,,prep. 反对，违反；靠；倚；防备,cet4 ky zk gk,
181,place,n,2,2,重复,n. 地方；住所；座位,ielts zk gk,
182,over,r,5,2,重复,adv. 结束；越过；从头到尾,zk gk,
183,such,d,5,2,重复,adj. 这样的，如此的,zk gk,
184,again,r,5,2,,adv. 再一次；又，此外,zk gk,
185,few,d,5,2,,adj. 很少的；几乎没有的,zk gk,
186,case,n,2,2,重复,n. 情况；实例；箱,ielts gk,
187,most,d,5,2,重复,adv. 最；最多；非常，极其；几乎,ielts zk gk,
188,week,n,5,2,,n. 周，星期,zk gk,
189,company,n,5,1,,n. 公司；陪伴，同伴；连队,toefl ielts zk gk,
190,where,r,5,2,重复,adv. 在哪里,zk gk,
191,system,n,5,2,,n. 系统；制度，体制；方法,cet4 cet6 ky toefl ielts gk,
192,each,d,5,2,重复,adj. 每；各自的,zk gk,
193,right,r,3,2,重复,adj. 正确的；右方的；直接的,zk gk,
194,program,n,4,1,重复,n. 程序；计划；大纲,cet4 cet6 ielts,
195,hear,v,5,2,,vt. 审理；听说；听到，听,zk gk,
196,so,c,3,2,重复,adv. 如此，这么；确是如此,zk gk,
197,question,n,5,1,重复,n. 问题，疑问；询问；疑问句,zk gk,
198,during,i,5,2,,prep. 在…的时候，在…的期间,zk gk,
199,work,n,5,2,重复,n. 工作；职业；产品；行为；文学、音乐或艺术作品；工厂；操作；[物]功,zk gk,
200,play,v,5,2,重复,vt. 演奏；播放；游戏；扮演；同…比赛,zk gk,
201,government,n,5,1,,n. 政府；管辖；政体,cet4 cet6 ky ielts zk gk,
202,run,v,5,2,重复,vi. 奔跑；运转；经营,zk gk,
203,small,j,5,2,,adj. 少的，小的；不重要的；几乎没有的；微弱的；幼小的,zk gk,
204,number,n,5,1,重复,n. 号码；数字；数；算术；（杂志等的）期,zk gk,
205,off,r,5,2,重复,prep. 离开；脱落,zk gk,
206,always,r,5,2,,adv. 总是；永远，一直；常常,zk gk,
207,move,v,5,2,重复,n. 迁居；步骤；移动,zk gk,
208,like,v,5,2,重复,vt. 喜欢；愿意；想,zk gk,
209,night,n,5,2,,n. 夜晚，晚上；黑暗，黑夜,ielts zk gk,
210,live,v,3,2,重复,adj. 活的；实况转播的；精力充沛的；生动的,ielts zk gk,
211,Mr,n,5,2,,abbr. 先生（Mister）,,
212,point,n,5,2,重复,n. 要点；尖端；得分；标点,cet4 cet6 ky ielts zk gk,
213,believe,v,5,1,,vi. 信任；料想；笃信宗教,zk gk,
214,hold,v,4,2,重复,vt. 持有；保存；拥有；拘留；约束或控制,ielts zk gk,
215,today,r,5,2,,adv. 今天；现今,zk gk,
216,bring,v,5,2,,vt. 带来；引起；促使；使某人处于某种情况或境地,ielts zk gk,
217,happen,v,5,2,,vi. 发生；碰巧；偶然遇到,cet4 ky zk gk,
218,next,m,5,2,重复,adv. 其次；然后；下次,zk gk,
219,without,i,5,2,重复,prep. 没有；在…外面；超过,zk gk,
220,before,i,5,2,重复,prep. 在…之前，先于,zk gk,
221,large,j,5,1,重复,adj. 大的；广博的；多数的,zk gk,
222,all,r,5,2,重复,adj. 全部的,ielts zk gk,
223,million,m,5,2,,n. 百万；无数,ielts gk,
224,must,v,5,2,重复,aux. 必须，一定；很可能；可以，应当,zk,
225,home,n,1,2,重复,n. 家，住宅；家乡；产地；避难所,zk gk,
226,under,i,5,2,重复,prep. 低于，少于；在...之下,zk gk,
227,water,n,5,2,重复,n. 水；雨水；海水；海域，大片的水,ielts zk gk,
228,room,n,5,2,,n. 房间；空间；机会；余地,ielts zk gk,
229,write,v,5,2,,vi. 写，写字；写作，作曲；写信,zk gk,
230,mother,n,5,2,,n. 母亲；大娘；女修道院院长,ielts zk gk,
231,area,n,5,1,,n. 面积；区域，地区；范围,cet4 ky ielts zk gk,
232,national,j,5,1,重复,adj. 国家的；国民的；民族的；国立的,cet4 cet6 ky ielts zk gk,
233,money,n,5,1,,n. 钱；货币；财富,ielts zk gk,
234,story,n,5,2,,n. 故事；来历；新闻报道；小说；[口]假话,ielts zk gk,
235,young,j,5,2,,adj. 年轻的；初期的；没有经验的,zk gk,
236,fact,n,5,2,,n. 事实；实际；真相,cet4 ky zk gk,
237,month,n,5,2,,n. 月，一个月的时间,ielts zk gk,
238,different,j,5,1,,adj. 不同的；个别的，与众不同的,ielts zk gk,
239,lot,n,5,2,,n. 抽签；命运；一堆；一块地；份额,zk gk,
240,right,n,3,2,重复,adj. 正确的；右方的；直接的,zk gk,
241,study,n,5,1,重复,n. 学习，研究；学问；课题；书房,ielts zk gk,
242,book,n,5,2,重复,n. 书籍；帐簿；卷；名册；工作簿,ielts zk gk,
243,eye,n,5,2,重复,n. 眼睛；视力；见解，观点；眼光,ielts zk gk,
244,job,n,5,2,,n. 工作；职业,ielts zk gk,
245,word,n,5,2,重复,n. 单词；话语；消息；诺言；命令,zk gk,
246,though,c,5,1,重复,adv. 可是，虽然；然而；不过,zk gk,
247,business,n,5,1,,n. 商业；生意；交易；事情,cet4 cet6 ky ielts zk gk,
248,issue,n,5,2,重复,n. 流出；发行物；问题；期号,cet4 cet6 ky toefl ielts,
249,side,n,5,2,重复,n. 方面；侧面；旁边,ielts zk gk,
250,kind,n,2,2,重复,n. 种类；性质,zk gk,
251,four,m,5,1,,num. 四；四个,zk gk,
252,head,n,5,2,重复,n. 头；上端；最前的部分；头痛；理解力,toefl zk gk,
253,far,r,5,2,重复,adv. 很；到很远的距离；遥远地；到很深的程度；久远地,zk gk,
254,black,j,5,2,重复,adj. 黑色的；黑人的；邪恶的,ielts zk gk,
255,long,j,2,2,重复,n. 长时间；长音节,toefl zk gk,
